number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.47478000000000004,2025-05-26 07:35:28.589918,2025-05-26 07:37:47.729519,0 days 00:02:19.139601000,64,0.01,1.0,0.1,3,3000,128,COMPLETE
1,0.35530000000000006,2025-05-26 07:37:47.738097,2025-05-26 07:41:22.876152,0 days 00:03:35.138055000,256,0.1,1.0,0.001,10,500,512,COMPLETE
2,0.38304000000000005,2025-05-26 07:41:22.880803,2025-05-26 07:45:15.385286,0 days 00:03:52.504483000,64,0.5,0.01,0.1,15,5000,128,COMPLETE
3,0.42464,2025-05-26 07:45:15.390176,2025-05-26 08:20:19.515408,0 days 00:35:04.125232000,128,1.0,0.1,0.001,3,5000,512,COMPLETE
4,0.32224,2025-05-26 08:20:19.520475,2025-05-26 08:29:09.214249,0 days 00:08:49.693774000,256,1.0,0.5,0.0001,15,3000,256,COMPLETE
5,0.38311999999999996,2025-05-26 08:29:09.219492,2025-05-26 08:35:56.285091,0 days 00:06:47.065599000,128,0.1,0.1,0.0001,10,5000,128,COMPLETE
6,0.53532,2025-05-26 08:35:56.290621,2025-05-26 08:36:40.714119,0 days 00:00:44.423498000,256,0.01,0.01,0.0001,3,500,128,COMPLETE
7,0.48276,2025-05-26 08:36:40.719806,2025-05-26 08:37:25.243583,0 days 00:00:44.523777000,128,1.0,0.1,0.0001,3,500,128,COMPLETE
8,0.34134000000000003,2025-05-26 08:37:25.249532,2025-05-26 08:38:56.876936,0 days 00:01:31.627404000,128,0.01,1.0,0.001,10,500,256,COMPLETE
9,0.39492000000000005,2025-05-26 08:38:56.883062,2025-05-26 08:43:03.388474,0 days 00:04:06.505412000,128,0.1,0.01,0.0001,15,3000,128,COMPLETE
10,0.48524,2025-05-26 08:43:03.394656,2025-05-26 08:43:33.152020,0 days 00:00:29.757364000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
11,0.50162,2025-05-26 08:43:33.158620,2025-05-26 08:44:02.856144,0 days 00:00:29.697524000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
12,0.5108400000000001,2025-05-26 08:44:02.864882,2025-05-26 08:44:32.559535,0 days 00:00:29.694653000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
13,0.5482800000000001,2025-05-26 08:44:32.566271,2025-05-26 08:45:02.316766,0 days 00:00:29.750495000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
14,0.5032200000000001,2025-05-26 08:45:02.323732,2025-05-26 08:45:31.980389,0 days 00:00:29.656657000,256,0.5,0.5,0.0001,3,500,64,COMPLETE
15,0.43114,2025-05-26 08:45:31.989585,2025-05-26 08:46:01.128606,0 days 00:00:29.139021000,256,0.01,0.01,0.1,3,500,64,COMPLETE
16,0.4727,2025-05-26 08:46:01.136015,2025-05-26 08:47:33.050112,0 days 00:01:31.914097000,256,0.01,0.01,0.0001,3,500,256,COMPLETE
17,0.4615,2025-05-26 08:47:33.057757,2025-05-26 08:49:45.895432,0 days 00:02:12.837675000,64,0.01,0.01,0.0001,3,500,512,COMPLETE
18,0.33690000000000003,2025-05-26 08:49:45.903121,2025-05-26 08:53:50.232688,0 days 00:04:04.329567000,256,0.5,0.5,0.001,10,3000,128,COMPLETE
19,0.35662,2025-05-26 08:53:50.240649,2025-05-26 08:58:05.353505,0 days 00:04:15.112856000,256,0.01,0.01,0.1,15,5000,64,COMPLETE
20,0.47576,2025-05-26 08:58:05.361672,2025-05-26 08:58:32.741974,0 days 00:00:27.380302000,64,0.01,0.01,0.0001,3,500,128,COMPLETE
21,0.5195000000000001,2025-05-26 08:58:32.750536,2025-05-26 08:59:02.440178,0 days 00:00:29.689642000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
22,0.48360000000000003,2025-05-26 08:59:02.448726,2025-05-26 08:59:32.109061,0 days 00:00:29.660335000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
23,0.4959,2025-05-26 08:59:32.117810,2025-05-26 09:00:01.796831,0 days 00:00:29.679021000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
24,0.4804400000000001,2025-05-26 09:00:01.805822,2025-05-26 09:00:31.457562,0 days 00:00:29.651740000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
25,0.5500600000000001,2025-05-26 09:00:31.466682,2025-05-26 09:01:01.139821,0 days 00:00:29.673139000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
26,0.48463999999999996,2025-05-26 09:01:01.149083,2025-05-26 09:04:39.617850,0 days 00:03:38.468767000,256,0.1,1.0,0.0001,3,500,512,COMPLETE
27,0.32142000000000004,2025-05-26 09:04:39.627299,2025-05-26 09:19:15.110455,0 days 00:14:35.483156000,256,0.5,0.1,0.001,15,5000,256,COMPLETE
28,0.48894,2025-05-26 09:19:15.120086,2025-05-26 09:21:05.088109,0 days 00:01:49.968023000,64,1.0,0.5,0.0001,3,3000,64,COMPLETE
29,0.47672000000000003,2025-05-26 09:21:05.097893,2025-05-26 09:21:49.251159,0 days 00:00:44.153266000,256,0.01,1.0,0.1,10,500,128,COMPLETE
30,0.41026,2025-05-26 09:21:49.261159,2025-05-26 09:24:10.846428,0 days 00:02:21.585269000,64,0.01,0.01,0.1,3,3000,128,COMPLETE
31,0.52258,2025-05-26 09:24:10.856595,2025-05-26 09:24:40.552107,0 days 00:00:29.695512000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
32,0.46402000000000004,2025-05-26 09:24:40.562536,2025-05-26 09:25:10.204538,0 days 00:00:29.642002000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
33,0.48252,2025-05-26 09:25:10.216771,2025-05-26 09:25:39.954952,0 days 00:00:29.738181000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
34,0.5023,2025-05-26 09:25:39.965709,2025-05-26 09:26:09.603910,0 days 00:00:29.638201000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
35,0.39948000000000006,2025-05-26 09:26:09.614866,2025-05-26 09:29:45.646857,0 days 00:03:36.031991000,256,0.1,1.0,0.001,3,500,512,COMPLETE
36,0.28708,2025-05-26 09:29:45.658090,2025-05-26 09:34:06.134018,0 days 00:04:20.475928000,256,1.0,0.01,0.0001,15,5000,64,COMPLETE
37,0.36332,2025-05-26 09:34:06.145392,2025-05-26 09:34:50.576946,0 days 00:00:44.431554000,128,0.5,0.1,0.0001,10,500,128,COMPLETE
38,0.44964000000000004,2025-05-26 09:34:50.588299,2025-05-26 09:36:21.432339,0 days 00:01:30.844040000,256,0.01,0.01,0.1,3,500,256,COMPLETE
39,0.47074000000000005,2025-05-26 09:36:21.444138,2025-05-26 10:11:59.656758,0 days 00:35:38.212620000,128,1.0,0.5,0.0001,3,5000,512,COMPLETE
40,0.34842,2025-05-26 10:11:59.668840,2025-05-26 10:14:21.765963,0 days 00:02:22.097123000,64,0.1,0.1,0.001,10,3000,128,COMPLETE
